Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500,fIC50-A,fIC50-B,h-A,h-B
T1D14,TMP,1,14,24,2500.0,2500.0,1750.0,0.5112,0.45,0.4307,0.4346,0.45815,0.5154,0.44305,0.4972,0.4468,0.46505,0.4143,0.32345,0.20105,0.02395,1394.276152750289,1394.2761574007748,2.8373758452668016,2.837375837496198
T1D15,TMP,1,15,24,6250.0,2500.0,1750.0,0.4991,0.4388,0.4344,0.4468,0.45715,0.5216,0.45305,0.4853,0.4317,0.43335,0.4195,0.32255,0.20535,0.03395,1423.6093866232593,1423.6093906215287,2.7754118937847547,2.7754119451179586
T1D16,TMP,1,16,24,2500.0,2500.0,1750.0,0.5007,0.4317,0.4209,0.4141,0.44155,0.542,0.46365,0.4812,0.4312,0.43385,0.4166,0.31855,0.20105,0.02205,1408.85763130243,1408.8576139141617,2.9020314976097588,2.9020313200421426
T1D17,TMP,1,17,24,2500.0,2500.0,1750.0,0.51,0.4318,0.4181,0.4233,0.44685,0.5554,0.44695,0.4952,0.4292,0.43035,0.4287,0.30555,0.22865,0.02615,1423.101879476794,1423.1018844036223,2.595770854926711,2.5957708814134652
T1D18,TMP,1,18,24,6250.0,2500.0,1750.0,0.4995,0.4443,0.4285,0.4111,0.44405,0.5941,0.48865,0.5134,0.4317,0.44005,0.4027,0.30265,0.19115,0.03965,1271.7080080022645,1271.7080009435372,2.1587604969035303,2.158760519098628
T1D19,TMP,1,19,24,6250.0,2500.0,1000.0,0.4885,0.4426,0.4267,0.4313,0.45075,0.5948,0.49405,0.5098,0.4207,0.44035,0.3961,0.29235,0.18395,0.03955,1205.0326991802128,1205.0327014014235,1.9803361811618028,1.980336210990974
T1D20,TMP,1,20,24,6250.0,2500.0,1000.0,0.4732,0.44799999999999995,0.4292,0.4347,0.44765,0.6112,0.48515,0.4781,0.4322,0.44815,0.3796,0.27815,0.19125,0.03595,1142.4338452375537,1142.4338516228615,1.7605135301281738,1.7605135953296536
T1D21,TMP,1,21,24,2500.0,2500.0,1000.0,0.486,0.4208,0.4528,0.441,0.46515,0.6202,0.45995,0.4752,0.4201,0.44735,0.3727,0.26915,0.17015,0.02675,1056.5523727414113,1056.5523883242613,1.7490252842451979,1.74902531639923
V1D1,V041,1,1,24,1.64,0.66,0.66,0.67935,0.56555,0.4874,0.07145,0.002,0.00205,0.0,0.0,0.0,0.0,0.0,0.0,0.00175,0.03225,0.3681269670602062,0.3681269675706092,3.3713352408796164,3.3713352022894245
V1D2,V041,1,2,24,4.1,1.64,0.66,0.61525,0.54705,0.4951,0.29555,0.1002,0.00295,0.003,0.0,0.0,0.00115,0.0,0.0,0.04425,0.04995,0.6417508441336278,0.6417508440488479,1.7323568572435617,1.7323568680356454
