Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500
T1D12,TMP,1,12,48,6250,2500,1750,0.7028,0.56995,0.59305,0.5543,0.6197,0.6473,0.6539,0.6608,0.64355,0.6547,0.50415,0.4267,0.30025,0.11875
T1D13,TMP,1,13,48,6250,2500,1000,0.8834,0.57615,0.59445,0.5703,0.5516,0.6069,0.6072,0.6071,0.61305,0.6,0.47135,0.4345,0.34345,0.13465
T1D14,TMP,1,14,48,6250,2500,2500,0.5582,0.51755,0.50815,0.5332,0.5221,0.5838,0.5273,0.5941,0.57395,0.5911,0.49025,0.4364,0.36045,0.14285
T1D15,TMP,1,15,48,6250,6250,2500,0.5543,0.53485,0.52575,0.5509,0.5122,0.5686,0.5415,0.5766,0.56535,0.5816,0.49515,0.4269,0.34295,0.15645
T1D16,TMP,1,16,48,6250,6250,2500,0.5548,0.51365,0.51035,0.4945,0.4891,0.5825,0.5281,0.5658,0.55535,0.5656,0.47525,0.4148,0.34295,0.14735
T1D17,TMP,1,17,48,6250,6250,2500,0.5347,0.52925,0.50475,0.5112,0.4956,0.5844,0.5351,0.5938,0.55925,0.5638,0.50195,0.4118,0.35935,0.15525
T1D18,TMP,1,18,48,6250,2500,2500,0.6019,0.54945,0.54535,0.5179,0.4991,0.6365,0.5584,0.6007,0.58295,0.576,0.48395,0.4203,0.35505,0.14975
T1D19,TMP,1,19,48,6250,6250,2500,0.5987,0.55635,0.50825,0.5513,0.4922,0.6422,0.5853,0.6214,0.57845,0.5885,0.49295,0.4161,0.34635,0.16415
T1D20,TMP,1,20,48,6250,6250,2500,0.6436,0.59695,0.52145,0.5651,0.4863,0.6475,0.6243,0.6269,0.64265,0.6372,0.50695,0.4023,0.34405,0.16855
T1D21,TMP,1,21,48,6250,2500,1750,0.6086,0.55715,0.58025,0.5272,0.5874,0.7119,0.6157,0.6567,0.61925,0.6198,0.52425,0.4278,0.32825,0.15025
V1D1,V041,1,1,48,1.64,1.64,0.66,0.3594,0.5527,0.57645,0.24535,0.0011,0.00055,0,0,0,0,0.00255,0,0.001,0.0363
V1D2,V041,1,2,48,10.2,10.2,4.1,0.392,0.5472,0.57415,0.50115,0.4692,0.26925,0.0019,0,0,0.0023,0,0,0.0389,0.0511
V1D3,V041,1,3,48,10.2,10.2,4.1,0.4366,0.5744,0.60315,0.48385,0.4681,0.20985,0.0007,0,0,0.003,0,0.0114,0.0801,0.0817
V1D4,V041,1,4,48,25.6,25.6,25.6,0.5156,0.6241,0.65915,0.57155,0.5548,0.51225,0.365,0,0,0.0017,0,0.0042,0.1003,0.0588
V1D5,V041,1,5,48,64,25.6,25.6,0.4903,0.6252,0.63475,0.57425,0.5636,0.58315,0.4874,0.0405,0,0.0014,0,0.0474,0.0898,0.0537
V1D6,V041,1,6,48,64,64,25.6,0.5607,0.6429,0.61595,0.61695,0.5653,0.48675,0.5442,0.2069,0,0.0015,0.00305,0.0031,0.0576,0
V1D7,V041,1,7,48,64,64,64,0.543,0.6005,0.58515,0.57755,0.6096,0.43495,0.583,0.3203,0,0.0014,0,0.0045,0.0889,0.1693
V1D8,V041,1,8,48,64,64,64,0.6441,0.6606,0.63775,0.61975,0.6654,0.57175,0.6319,0.545,1.00E-04,0.0022,0.00085,0,0.0981,0.1608
V1D9,V041,1,9,48,160,160,64,0.6513,0.6627,0.63855,0.61615,0.6551,0.55255,0.6994,0.6012,0.2105,0.0031,0,0.0188,0.1032,0.1539
V1D10,V041,1,10,48,160,160,64,0.6199,0.6931,0.67865,0.63315,0.6546,0.65975,0.6713,0.5609,0.3067,0.0032,0,0,0,0.0209
V1D11,V041,1,11,48,160,160,64,0.9144,0.8743,0.64185,0.69385,0.7062,0.60235,0.6729,0.545,0.419,0.0033,0,0,0.074,0.1047
V1D12,V041,1,12,48,160,160,160,0.73,0.6884,0.65385,0.66865,0.6631,0.64905,0.6572,0.6234,0.4794,0.0034,0,0,0,0.0484
V1D13,V041,1,13,48,400,400,160,0.7349,0.6734,0.70155,0.62415,0.6482,0.64765,0.6273,0.6487,0.5337,0.3183,0,0,0.1076,0.0891
