Replica,Name,EvolvedIn,MeasuredIn,Culture#,IC95,IC75,IC50,0.04,0.66,1.64,4.1,10.2,25.6,64.0,160.0,400.0,1000.0,1750.0,2500.0
7,V4D21,V041,TMP,4,6250.0,2500.0,1750.0,0.47029999999999994,0.49040000000000006,0.49949999999999994,0.4928,0.48369999999999996,0.47859999999999997,0.47439999999999993,0.4504,0.3982,0.2634,0.1615,0.05229999999999999
1,V5D21,V041,TMP,5,2500.0,1750.0,1750.0,0.5078999999999999,0.49820000000000003,0.4779,0.4796,0.4829,0.4941,0.491,0.4556,0.38180000000000003,0.25470000000000004,0.0514,0.006600000000000002
2,V5D21,V041,TMP,5,2500.0,1750.0,1750.0,0.4912,0.49599999999999994,0.482,0.474,0.496,0.5041,0.49239999999999995,0.4655,0.3829,0.253,0.05840000000000001,0.006499999999999999
3,V5D21,V041,TMP,5,2500.0,1750.0,1000.0,0.49400000000000005,0.49369999999999997,0.5084000000000001,0.5055999999999999,0.5192,0.5161,0.5059,0.47109999999999996,0.3893,0.2531,0.0398,0.004799999999999999
4,V5D21,V041,TMP,5,2500.0,1750.0,1000.0,0.47800000000000004,0.49809999999999993,0.504,0.505,0.5195,0.5468999999999999,0.5846,0.4689,0.3862,0.2603,0.053000000000000005,0.0046
5,V5D21,V041,TMP,5,2500.0,1750.0,1000.0,0.4783,0.4906,0.5173,0.5095999999999999,0.5207999999999999,0.5501,0.5158,0.49829999999999997,0.3876,0.2261,0.039900000000000005,0.005400000000000002
6,V5D21,V041,TMP,5,2500.0,1750.0,1000.0,0.47569999999999996,0.4923,0.5188,0.5091,0.5294,0.5393,0.5169,0.46930000000000005,0.3871,0.23529999999999998,0.0461,0.015599999999999996
7,V5D21,V041,TMP,5,2500.0,1750.0,1000.0,0.46780000000000005,0.4872,0.5251,0.5232,0.5083,0.5336,0.5231,0.4747,0.3774,0.22440000000000002,0.038500000000000006,0.002799999999999997
1,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.5187,0.47570000000000007,0.502,0.4855,0.501,0.46950000000000003,0.461,0.42150000000000004,0.3846,0.2619,0.1789,0.10880000000000001
2,V6D21,V041,TMP,6,6250.0,2500.0,1750.0,0.4858,0.49490000000000006,0.5062000000000001,0.46369999999999995,0.4754,0.46740000000000004,0.449,0.43570000000000003,0.3838,0.2898,0.2026,0.0614
